Table Name,Column Name,Data Type,Nullable,Length,Precision,Scale,Default,Comments
"AB_DEPUTY","GDP_ID","NUMBER","Y","22","6","0",,
"AB_DEPUTY","PMT_CODE","NUMBER","Y","22","6","0",,
"AB_DEPUTY","GPD_DEPUTY_POG_CODE","CHAR","Y","12",,,,
"AB_DEPUTY","GDP_DEPUTY_POSITION_EX","VARCHAR2","Y","512",,,,
"AB_DEPUTY","GDP_DEPUTY_PRIORITY","NUMBER","Y","22","2","0",,
"AB_DEPUTY","GDP_DEPUTY_START_DATE","DATE","Y","7",,,,
"AB_DEPUTY","GDP_DEPUTY_END_DATE","DATE","Y","7",,,,
"AB_DEPUTY","GDP_DEPUTY_REMARK","CHAR","Y","1",,,,
"AB_DEPUTY","GDP_CREATED_BY","NUMBER","Y","22","6","0",,
"AB_DEPUTY","GDP_CREATED_DATE","DATE","Y","7",,,,
"AB_DEPUTY","GDP_LAST_UPDATE_BY","NUMBER","Y","22","6","0",,
"AB_DEPUTY","GDP_LAST_UPDATE_DATE","DATE","Y","7",,,,
"AB_DEPUTY","GDP_DEPUTY_STATUS","NUMBER","Y","22",,,,
"AB_DEPUTY","POG_CODE","CHAR","Y","12",,,,
"AB_DEPUTY","POG_DESC","VARCHAR2","Y","150",,,,
"AB_DEPUTY_TEMP","GDP_ID","NUMBER","Y","22","6","0",,
"AB_DEPUTY_TEMP","PMT_CODE","NUMBER","Y","22","6","0",,
"AB_DEPUTY_TEMP","GPD_DEPUTY_POG_CODE","CHAR","Y","12",,,,
"AB_DEPUTY_TEMP","GDP_DEPUTY_POSITION_EX","VARCHAR2","Y","512",,,,
"AB_DEPUTY_TEMP","GDP_DEPUTY_PRIORITY","NUMBER","Y","22","2","0",,
"AB_DEPUTY_TEMP","GDP_DEPUTY_START_DATE","DATE","Y","7",,,,
"AB_DEPUTY_TEMP","GDP_DEPUTY_END_DATE","DATE","Y","7",,,,
"AB_DEPUTY_TEMP","GDP_DEPUTY_REMARK","CHAR","Y","1",,,,
"AB_DEPUTY_TEMP","GDP_CREATED_BY","NUMBER","Y","22","6","0",,
"AB_DEPUTY_TEMP","GDP_CREATED_DATE","DATE","Y","7",,,,
"AB_DEPUTY_TEMP","GDP_LAST_UPDATE_BY","NUMBER","Y","22","6","0",,
"AB_DEPUTY_TEMP","GDP_LAST_UPDATE_DATE","DATE","Y","7",,,,
"AB_DEPUTY_TEMP","GDP_DEPUTY_STATUS","NUMBER","Y","22",,,,
"AB_DEPUTY_TEMP","POG_CODE","CHAR","Y","12",,,,
"AB_DEPUTY_TEMP","POG_DESC","VARCHAR2","Y","150",,,,
"AB_HOLIDAY","HOLIDAY_DATE","DATE","N","7",,,,
"AB_HOLIDAY","DESCRIPTION","NVARCHAR2","Y","400",,,,
"AB_HOLIDAY","CREATE_DATE","TIMESTAMP(6) WITH TIME ZONE","N","13",,"6",,
"AB_HOLIDAY","PSN_CODE","NVARCHAR2","Y","200",,,,
"AB_HOLIDAY","POG_CODE","VARCHAR2","Y","10",,,,
"AB_HOLIDAY","HOLIDAY_FLAG","CHAR","Y","1",,,,
"AB_HOLIDAY","POG_TYPE","NUMBER","Y","22",,,,
"AB_HOLIDAY","ID","NUMBER","Y","22","10","0",,
