Table Name,Column Count,Primary Key Columns,Foreign Key Columns,Description
"AB_DEPUTY","15","0","1","Table with 15 columns"
"AB_DEPUTY_TEMP","15","0","1","Table with 15 columns"
"AB_HOLIDAY","8","0","3","Table with 8 columns"
"AB_HOLIDAY_TEMP","8","0","3","Table with 8 columns"
"EMPLOYEE","35","0","2","Table with 35 columns"
"EMPLOYEE_TEMP","35","0","2","Table with 35 columns"
"OP_CHILDREN_T","11","0","1","Table with 11 columns"
"OP_CHILDREN_T_TEMP","11","0","1","Table with 11 columns"
"OP_HEAD_T","8","0","0","Table with 8 columns"
"OP_HEAD_T_TEMP","8","0","0","Table with 8 columns"
"OP_LEVEL_SAL_R","2","0","0","Table with 2 columns"
"OP_LEVEL_SAL_R_TEMP","2","0","0","Table with 2 columns"
"OP_MASTER_T","22","0","0","Table with 22 columns"
"OP_MASTER_T_TEMP","22","0","0","Table with 22 columns"
"OP_ORGANIZE_R","8","0","0","Table with 8 columns"
"OP_ORGANIZE_R_TEMP","8","0","0","Table with 8 columns"
"OP_POSITION_NO_T","4","0","0","Table with 4 columns"
"OP_POSITION_NO_T_TEMP","4","0","0","Table with 4 columns"
"OP_POS_EXECUTIVE_R","5","0","0","Table with 5 columns"
"OP_POS_EXECUTIVE_R_TEMP","5","0","0","Table with 5 columns"
"OP_POS_WORK_R","3","0","0","Table with 3 columns"
"OP_POS_WORK_R_TEMP","3","0","0","Table with 3 columns"
"PS_PW_JOB","21","0","4","Table with 21 columns"
"PS_PW_JOB_TEMP","21","0","4","Table with 21 columns"
"VIEW_POSITION_4OT","12","0","2","Table with 12 columns"
"VIEW_POSITION_4OT_TEMP","12","0","2","Table with 12 columns"
"V_BUDGET_CODE","10","0","0","Table with 10 columns"
"V_BUDGET_CODE_TEMP","10","0","0","Table with 10 columns"
"V_TX_OT","9","0","0","Table with 9 columns"
"V_TX_OT_TEMP","9","0","0","Table with 9 columns"
"accommodation_rates","14","0","1","Table with 14 columns"
"amphurs","6","0","2","Table with 6 columns"
"approval","56","0","6","Table with 56 columns"
"approval_accommodation_expense","50","0","5","Table with 50 columns"
"approval_accommodation_holiday_expense","12","0","3","Table with 12 columns"
"approval_accommodation_transport_expense","9","0","3","Table with 9 columns"
"approval_attachments","6","0","3","Table with 6 columns"
"approval_budgets","10","0","3","Table with 10 columns"
"approval_clothing_expense","16","0","6","Table with 16 columns"
"approval_conditions","5","0","2","Table with 5 columns"
"approval_contents","5","0","2","Table with 5 columns"
"approval_continuous","16","0","4","Table with 16 columns"
"approval_continuous_status","5","0","1","Table with 5 columns"
"approval_date_ranges","6","0","2","Table with 6 columns"
"approval_entertainment_expense","9","0","4","Table with 9 columns"
"approval_other_expense","9","0","2","Table with 9 columns"
"approval_staff_members","12","0","2","Table with 12 columns"
"approval_status","6","0","3","Table with 6 columns"
"approval_status_history","6","0","3","Table with 6 columns"
"approval_status_labels","5","0","1","Table with 5 columns"
"approval_transportation_expense","20","0","4","Table with 20 columns"
"approval_trip_date_ranges","7","0","3","Table with 7 columns"
"approval_trip_entries","11","0","3","Table with 11 columns"
"approval_work_locations","13","0","4","Table with 13 columns"
"approval_work_locations_date_ranges","7","0","3","Table with 7 columns"
"attire_allowance_rates","11","0","1","Table with 11 columns"
"attire_destination_group_countries","5","0","3","Table with 5 columns"
"attire_destination_groups","7","0","1","Table with 7 columns"
"audit_logs","10","0","1","Table with 10 columns"
"committee_position","4","0","1","Table with 4 columns"
"countries","8","0","1","Table with 8 columns"
"currencies","5","0","1","Table with 5 columns"
"disbursement_supporting_document_types","5","0","1","Table with 5 columns"
"disbursement_supporting_forms","7","0","2","Table with 7 columns"
"disbursement_supporting_questions","6","0","2","Table with 6 columns"
"domestic_moving_allowances","6","0","1","Table with 6 columns"
"employee_admin","16","0","1","Table with 16 columns"
"entertainment_allowance_levels","6","0","3","Table with 6 columns"
"entertainment_allowances","9","0","2","Table with 9 columns"
"entertainment_form_status","4","0","1","Table with 4 columns"
"expenses_bangkok_to_place","6","0","3","Table with 6 columns"
"expenses_other","4","0","1","Table with 4 columns"
"expenses_other_conditions","9","0","2","Table with 9 columns"
"expenses_vehicle","6","0","1","Table with 6 columns"
"files","8","0","1","Table with 8 columns"
"holiday_work_hours","7","0","2","Table with 7 columns"
"holiday_work_rates","5","0","1","Table with 5 columns"
"international_moving_allowances","7","0","1","Table with 7 columns"
"knex_migrations","4","0","1","Table with 4 columns"
"knex_migrations_lock","2","0","0","Table with 2 columns"
"masterdata_labels","10","0","1","Table with 10 columns"
"meal_allowance","7","0","1","Table with 7 columns"
"meal_allowance_level","2","0","1","Table with 2 columns"
"meeting_expense_report_food_rows","11","0","2","Table with 11 columns"
"meeting_expense_report_snack_rows","11","0","2","Table with 11 columns"
"meeting_expense_reports","20","0","2","Table with 20 columns"
"meeting_type_rates","10","0","2","Table with 10 columns"
"meeting_types","7","0","1","Table with 7 columns"
"menu_items_access","8","0","1","Table with 8 columns"
"notifications","12","0","2","Table with 12 columns"
"office_domestic","7","0","2","Table with 7 columns"
"office_international","8","0","3","Table with 8 columns"
"outsider_equivalent","4","0","1","Table with 4 columns"
"per_diem_rates","11","0","1","Table with 11 columns"
"places","4","0","1","Table with 4 columns"
"privilege","7","0","3","Table with 7 columns"
"provinces","6","0","1","Table with 6 columns"
"report_accommodation","6","0","2","Table with 6 columns"
"report_allowance","7","0","2","Table with 7 columns"
"report_approve","10","0","2","Table with 10 columns"
"report_approve_status","4","0","1","Table with 4 columns"
"report_daily_travel_detail","9","0","2","Table with 9 columns"
"report_entertainment_form","16","0","3","Table with 16 columns"
"report_entertainment_items","12","0","2","Table with 12 columns"
"report_holiday_wage_detail","8","0","2","Table with 8 columns"
"report_other_expense","5","0","2","Table with 5 columns"
"report_transportation","8","0","2","Table with 8 columns"
"report_traveller","9","0","2","Table with 9 columns"
"report_traveller_form","24","0","3","Table with 24 columns"
"sessions","10","0","1","Table with 10 columns"
"users","14","0","1","Table with 14 columns"
